Momentum,TPC_Signal,TOF_Signal,PID
1.139624,54.160156,0.689916,0
0.541778,54.257812,0.96579,0
0.439816,54.707031,0.950973,0
0.508056,54.788086,0.720711,0
0.514633,54.865234,0.951593,0
1.130234,55.165039,0.775557,0
0.771413,55.188477,0.897566,0
0.384495,55.269531,1.012799,0
0.670856,55.456055,0.55642,0
0.456946,55.466797,0.96253,0
0.830061,55.564453,0.979606,0
0.652258,55.862305,0.991918,0
1.19953,55.875977,0.914954,0
0.676248,56.097656,0.524942,0
0.650034,56.165039,0.566915,0
1.512177,56.373047,0.998461,0
1.067682,56.436523,0.964533,0
1.22938,56.506836,0.994349,0
0.479284,56.649414,1.012055,0
1.291182,57.392578,0.998083,0
0.737829,57.404297,0.997066,0
0.574115,57.525391,0.600696,0
0.976257,57.530273,1.005774,0
1.088394,57.924805,1.000571,0
0.988471,58.545898,1.003705,0
1.340809,58.878906,0.986333,0
1.108886,59.439453,0.986757,0
1.321899,59.802734,1.002954,0
0.919388,60.274414,0.887453,0
1.152992,60.302734,1.005232,0
1.376155,60.34375,1.016204,0
0.810274,61.444336,0.887852,0
0.543695,61.977539,0.73017,0
1.101972,62.041016,0.993212,0
1.471324,62.087891,0.969167,0
1.336446,62.382812,1.013364,0
0.468627,62.613281,0.91638,0
0.954611,63.186523,0.999401,0
1.569063,63.542969,0.998556,0
0.653621,63.621094,0.590143,0
0.641179,63.664062,0.994876,0
0.736257,63.755859,0.948316,0
0.604001,63.764648,0.891105,0
0.952692,64.457031,0.9933,0
0.9888,64.664062,0.998474,0
0.631132,65.861328,0.991817,0
1.18192,65.902344,0.994915,0
1.382614,66.255859,1.009842,0
1.43057,66.402344,0.998193,0
0.632662,66.445312,1.002906,0
1.170262,66.791016,1.001124,0
1.154989,67.283203,1.012539,0
0.542099,67.474609,0.994284,0
1.141152,67.5625,0.852978,0
0.727343,67.820312,0.992578,0
1.115492,67.927734,1.008444,0
0.951373,67.96875,0.997455,0
0.708659,68.0,1.004765,0
0.597478,68.113281,0.974223,0
0.785,68.841797,1.000796,0
0.987785,69.162109,0.986277,0
0.764829,69.267578,0.995865,0
0.568134,69.474609,0.994346,0
0.781071,69.648438,0.995958,0
1.441665,69.699219,1.0022,0
0.799686,69.71875,1.016653,0
0.887882,69.757812,0.991364,0
1.235328,69.822266,0.994788,0
0.924874,69.917969,0.995457,0
0.601058,69.9375,1.013985,0
0.432368,70.246094,1.002847,0
0.48874,70.375,0.554724,0
0.557508,70.441406,0.997842,0
0.568943,70.476562,0.99666,0
0.679237,70.533203,0.999311,0
1.063197,70.644531,1.00459,0
0.792301,70.732422,1.002491,0
1.257113,70.740234,0.999153,0
0.507558,70.804688,1.001346,0
0.413421,70.828125,0.990331,0
0.480189,70.845703,0.817672,0
0.46301,70.888672,0.988527,0
1.343778,70.941406,0.995209,0
0.90554,71.025391,0.993487,0
1.556908,71.052734,1.013259,0
1.270758,71.261719,0.986908,0
0.827902,71.306641,1.001058,0
1.574436,71.333984,0.994703,0
0.641907,71.423828,0.992109,0
1.224184,71.431641,0.56305,0
1.438393,71.451172,0.998293,0
0.967187,71.589844,0.996813,0
0.679376,71.605469,0.992397,0
0.506831,71.607422,1.000844,0
1.170568,71.755859,1.018918,0
1.313637,71.773438,1.003795,0
0.606805,71.804688,1.003879,0
0.669501,71.833984,0.799029,0
0.552722,71.855469,1.003439,0
0.491338,72.027344,0.981709,0
0.869394,72.066406,1.004594,0
1.166416,72.150391,0.893986,0
0.723692,72.253906,0.998906,0
1.184637,72.269531,0.988253,0
0.675298,72.34375,1.001471,0
0.69659,72.345703,0.992567,0
1.012994,72.351562,1.005745,0
0.541182,72.460938,0.997314,0
1.046398,72.478516,0.995244,0
1.03831,72.578125,0.993039,0
0.768211,72.617188,0.998331,0
1.118491,72.623047,0.992984,0
1.37674,72.623047,0.996611,0
1.140113,72.640625,1.005125,0
1.216615,72.679688,1.005337,0
0.531549,72.697266,0.988935,0
0.55893,72.716797,0.938033,0
1.528944,72.791016,1.005991,0
0.465178,72.822266,0.99252,0
0.964338,72.851562,0.992533,0
1.354196,72.873047,0.985073,0
0.448699,72.884766,0.996497,0
1.164832,72.951172,0.9904,0
0.523334,72.964844,0.987,0
0.414787,72.978516,1.004414,0
0.446692,73.046875,0.99301,0
0.396018,73.140625,0.741947,0
0.767028,73.228516,0.9892,0
0.550305,73.289062,0.993644,0
0.981947,73.296875,0.984269,0
0.440099,73.384766,0.99983,0
1.232747,73.384766,1.003492,0
0.906495,73.425781,0.999339,0
0.636296,73.763672,0.999467,0
1.314816,73.802734,0.996394,0
1.315104,73.810547,1.010768,0
0.450437,73.859375,0.994389,0
1.229078,73.875,0.997923,0
1.110164,73.892578,1.003142,0
0.577507,73.910156,1.00157,0
1.142051,73.953125,0.981143,0
1.081849,73.980469,1.007738,0
0.542118,73.984375,0.999218,0
0.729741,74.007812,1.003259,0
0.771484,74.009766,1.001753,0
1.013576,74.029297,1.005682,0
1.12337,74.060547,0.973953,0
0.568641,74.083984,0.751671,0
0.88097,74.091797,1.001151,0
0.498043,74.318359,0.990771,0
0.588086,74.351562,0.992882,0
0.598433,74.365234,1.00054,0
0.462216,74.371094,0.993698,0
0.678513,74.40625,1.004192,0
1.14326,74.410156,0.992145,0
1.259457,74.480469,1.001119,0
1.036697,74.5625,0.997434,0
0.58581,74.59375,1.01478,0
0.901438,74.652344,1.004862,0
0.773799,74.699219,0.994258,0
1.545534,74.707031,0.999156,0
0.933729,74.751953,0.994198,0
0.498536,74.787109,0.784415,0
0.661461,74.875,0.98598,0
0.910747,74.875,1.005307,0
1.246417,74.914062,0.999616,0
0.798451,74.957031,1.004271,0
0.494473,74.966797,0.996003,0
0.402405,74.96875,0.967877,0
0.587832,75.029297,1.000998,0
0.469602,75.044922,0.99514,0
1.138102,75.123047,0.996386,0
1.055573,75.140625,0.995529,0
0.395216,75.150391,1.008063,0
0.631673,75.154297,0.961641,0
0.768083,75.242188,0.999768,0
0.649108,75.265625,1.008304,0
0.604025,75.267578,0.998534,0
0.463225,75.302734,1.009401,0
0.414217,75.326172,0.999926,0
0.638019,75.339844,1.003601,0
0.422219,75.445312,1.008309,0
0.776842,75.462891,0.997056,0
1.228501,75.472656,1.001269,0
1.596533,75.472656,1.001709,0
1.194381,75.484375,0.99659,0
1.408624,75.488281,0.993692,0
1.437289,75.527344,1.006802,0
0.951206,75.613281,0.994985,0
0.707087,75.642578,1.004468,0
